Date : 2023-07-09 13:48:23
Directory : /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager
Total : 5511 files,  1165817 codes, 253770 comments, 137989 blanks, all 1557576 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |      5,144 |  1,100,095 |    252,540 |    127,182 |  1,479,817 |
| Protocol Buffers |         80 |     24,423 |          0 |      4,598 |     29,021 |
| YAML             |         46 |     15,627 |        159 |        132 |     15,918 |
| Markdown         |        130 |     10,103 |         16 |      3,449 |     13,568 |
| RISC-V Assembly  |         53 |      7,914 |         92 |      2,030 |     10,036 |
| JSON             |          4 |      4,261 |          0 |          3 |      4,264 |
| Shell Script     |         27 |      1,848 |        768 |        354 |      2,970 |
| Go Checksum File |          1 |        760 |          0 |          1 |        761 |
| Makefile         |         18 |        507 |        123 |        170 |        800 |
| Go Module File   |          1 |        106 |          1 |          5 |        112 |
| Go Template File |          1 |         80 |          0 |         30 |        110 |
| C                |          2 |         51 |         17 |         18 |         86 |
| Docker           |          1 |         33 |          9 |         10 |         52 |
| TOML             |          2 |          8 |         45 |          6 |         59 |
| Properties       |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                       |      5,511 |  1,165,817 |    253,770 |    137,989 |  1,557,576 |
| . (Files)                                                                                                                                                                                               |          5 |        993 |          1 |         71 |      1,065 |
| artifacts                                                                                                                                                                                               |          3 |         77 |          8 |          3 |         88 |
| artifacts/examples                                                                                                                                                                                      |          3 |         77 |          8 |          3 |         88 |
| cmd                                                                                                                                                                                                     |          8 |        756 |        141 |        187 |      1,084 |
| cmd (Files)                                                                                                                                                                                             |          1 |         15 |          0 |          5 |         20 |
| cmd/app                                                                                                                                                                                                 |          7 |        741 |        141 |        182 |      1,064 |
| cmd/app (Files)                                                                                                                                                                                         |          2 |        382 |        116 |         94 |        592 |
| cmd/app/config                                                                                                                                                                                          |          1 |         30 |          7 |         14 |         51 |
| cmd/app/options                                                                                                                                                                                         |          2 |        167 |         11 |         47 |        225 |
| cmd/app/testing                                                                                                                                                                                         |          2 |        162 |          7 |         27 |        196 |
| docs                                                                                                                                                                                                    |          1 |         48 |          0 |         16 |         64 |
| hack                                                                                                                                                                                                    |          3 |         36 |         39 |         17 |         92 |
| pkg                                                                                                                                                                                                     |         37 |      1,556 |        853 |        423 |      2,832 |
| pkg/apis                                                                                                                                                                                                |          5 |        135 |        105 |         41 |        281 |
| pkg/apis/samplecontroller                                                                                                                                                                               |          5 |        135 |        105 |         41 |        281 |
| pkg/apis/samplecontroller (Files)                                                                                                                                                                       |          1 |          4 |         16 |          3 |         23 |
| pkg/apis/samplecontroller/v1alpha1                                                                                                                                                                      |          4 |        131 |         89 |         38 |        258 |
| pkg/cluster                                                                                                                                                                                             |          1 |          4 |          0 |          2 |          6 |
| pkg/cluster/ports                                                                                                                                                                                       |          1 |          4 |          0 |          2 |          6 |
| pkg/controller                                                                                                                                                                                          |          7 |        580 |        155 |        126 |        861 |
| pkg/controller/apis                                                                                                                                                                                     |          2 |         62 |          9 |         14 |         85 |
| pkg/controller/apis/config                                                                                                                                                                              |          2 |         62 |          9 |         14 |         85 |
| pkg/controller/sample                                                                                                                                                                                   |          5 |        518 |        146 |        112 |        776 |
| pkg/controller/sample (Files)                                                                                                                                                                           |          2 |        504 |        146 |        106 |        756 |
| pkg/controller/sample/config                                                                                                                                                                            |          3 |         14 |          0 |          6 |         20 |
| pkg/generated                                                                                                                                                                                           |         21 |        806 |        543 |        238 |      1,587 |
| pkg/generated/clientset                                                                                                                                                                                 |         13 |        481 |        303 |        134 |        918 |
| pkg/generated/clientset/versioned                                                                                                                                                                       |         13 |        481 |        303 |        134 |        918 |
| pkg/generated/clientset/versioned (Files)                                                                                                                                                               |          1 |         70 |         32 |         19 |        121 |
| pkg/generated/clientset/versioned/fake                                                                                                                                                                  |          3 |         70 |         71 |         25 |        166 |
| pkg/generated/clientset/versioned/scheme                                                                                                                                                                |          2 |         21 |         47 |         11 |         79 |
| pkg/generated/clientset/versioned/typed                                                                                                                                                                 |          7 |        320 |        153 |         79 |        552 |
| pkg/generated/clientset/versioned/typed/samplecontroller                                                                                                                                                |          7 |        320 |        153 |         79 |        552 |
| pkg/generated/clientset/versioned/typed/samplecontroller/v1alpha1                                                                                                                                       |          7 |        320 |        153 |         79 |        552 |
| pkg/generated/clientset/versioned/typed/samplecontroller/v1alpha1 (Files)                                                                                                                               |          4 |        215 |         91 |         41 |        347 |
| pkg/generated/clientset/versioned/typed/samplecontroller/v1alpha1/fake                                                                                                                                  |          3 |        105 |         62 |         38 |        205 |
| pkg/generated/informers                                                                                                                                                                                 |          6 |        270 |        185 |         85 |        540 |
| pkg/generated/informers/externalversions                                                                                                                                                                |          6 |        270 |        185 |         85 |        540 |
| pkg/generated/informers/externalversions (Files)                                                                                                                                                        |          2 |        164 |        102 |         49 |        315 |
| pkg/generated/informers/externalversions/internalinterfaces                                                                                                                                             |          1 |         14 |         19 |          8 |         41 |
| pkg/generated/informers/externalversions/samplecontroller                                                                                                                                               |          3 |         92 |         64 |         28 |        184 |
| pkg/generated/informers/externalversions/samplecontroller (Files)                                                                                                                                       |          1 |         19 |         20 |          8 |         47 |
| pkg/generated/informers/externalversions/samplecontroller/v1alpha1                                                                                                                                      |          2 |         73 |         44 |         20 |        137 |
| pkg/generated/listers                                                                                                                                                                                   |          2 |         55 |         55 |         19 |        129 |
| pkg/generated/listers/samplecontroller                                                                                                                                                                  |          2 |         55 |         55 |         19 |        129 |
| pkg/generated/listers/samplecontroller/v1alpha1                                                                                                                                                         |          2 |         55 |         55 |         19 |        129 |
| pkg/signals                                                                                                                                                                                             |          3 |         31 |         50 |         16 |         97 |
| vendor                                                                                                                                                                                                  |      5,454 |  1,162,351 |    252,728 |    137,272 |  1,552,351 |
| vendor/github.com                                                                                                                                                                                       |        867 |    156,632 |     32,150 |     23,535 |    212,317 |
| vendor/github.com/Azure                                                                                                                                                                                 |         23 |      2,016 |        226 |        442 |      2,684 |
| vendor/github.com/Azure/go-ansiterm                                                                                                                                                                     |         23 |      2,016 |        226 |        442 |      2,684 |
| vendor/github.com/Azure/go-ansiterm (Files)                                                                                                                                                             |         15 |        741 |         66 |        191 |        998 |
| vendor/github.com/Azure/go-ansiterm/winterm                                                                                                                                                             |          8 |      1,275 |        160 |        251 |      1,686 |
| vendor/github.com/NYTimes                                                                                                                                                                               |          6 |        491 |        127 |        134 |        752 |
| vendor/github.com/NYTimes/gziphandler                                                                                                                                                                   |          6 |        491 |        127 |        134 |        752 |
| vendor/github.com/antlr                                                                                                                                                                                 |         45 |      8,520 |      3,021 |      2,262 |     13,803 |
| vendor/github.com/antlr/antlr4                                                                                                                                                                          |         45 |      8,520 |      3,021 |      2,262 |     13,803 |
| vendor/github.com/antlr/antlr4/runtime                                                                                                                                                                  |         45 |      8,520 |      3,021 |      2,262 |     13,803 |
| vendor/github.com/antlr/antlr4/runtime/Go                                                                                                                                                               |         45 |      8,520 |      3,021 |      2,262 |     13,803 |
| vendor/github.com/antlr/antlr4/runtime/Go/antlr                                                                                                                                                         |         45 |      8,520 |      3,021 |      2,262 |     13,803 |
| vendor/github.com/asaskevich                                                                                                                                                                            |         12 |      2,571 |        244 |        341 |      3,156 |
| vendor/github.com/asaskevich/govalidator                                                                                                                                                                |         12 |      2,571 |        244 |        341 |      3,156 |
| vendor/github.com/beorn7                                                                                                                                                                                |          1 |        211 |         71 |         35 |        317 |
| vendor/github.com/beorn7/perks                                                                                                                                                                          |          1 |        211 |         71 |         35 |        317 |
| vendor/github.com/beorn7/perks/quantile                                                                                                                                                                 |          1 |        211 |         71 |         35 |        317 |
| vendor/github.com/blang                                                                                                                                                                                 |          5 |        709 |        143 |        126 |        978 |
| vendor/github.com/blang/semver                                                                                                                                                                          |          5 |        709 |        143 |        126 |        978 |
| vendor/github.com/blang/semver/v4                                                                                                                                                                       |          5 |        709 |        143 |        126 |        978 |
| vendor/github.com/cenkalti                                                                                                                                                                              |          9 |        369 |        154 |         99 |        622 |
| vendor/github.com/cenkalti/backoff                                                                                                                                                                      |          9 |        369 |        154 |         99 |        622 |
| vendor/github.com/cenkalti/backoff/v4                                                                                                                                                                   |          9 |        369 |        154 |         99 |        622 |
| vendor/github.com/cespare                                                                                                                                                                               |          7 |        493 |         76 |        118 |        687 |
| vendor/github.com/cespare/xxhash                                                                                                                                                                        |          7 |        493 |         76 |        118 |        687 |
| vendor/github.com/cespare/xxhash/v2                                                                                                                                                                     |          7 |        493 |         76 |        118 |        687 |
| vendor/github.com/coreos                                                                                                                                                                                |          7 |        466 |        210 |        118 |        794 |
| vendor/github.com/coreos/go-semver                                                                                                                                                                      |          2 |        224 |         50 |         62 |        336 |
| vendor/github.com/coreos/go-semver/semver                                                                                                                                                               |          2 |        224 |         50 |         62 |        336 |
| vendor/github.com/coreos/go-systemd                                                                                                                                                                     |          5 |        242 |        160 |         56 |        458 |
| vendor/github.com/coreos/go-systemd/v22                                                                                                                                                                 |          5 |        242 |        160 |         56 |        458 |
| vendor/github.com/coreos/go-systemd/v22/daemon                                                                                                                                                          |          2 |         77 |         63 |         19 |        159 |
| vendor/github.com/coreos/go-systemd/v22/journal                                                                                                                                                         |          3 |        165 |         97 |         37 |        299 |
| vendor/github.com/davecgh                                                                                                                                                                               |          8 |      1,059 |        857 |        209 |      2,125 |
| vendor/github.com/davecgh/go-spew                                                                                                                                                                       |          8 |      1,059 |        857 |        209 |      2,125 |
| vendor/github.com/davecgh/go-spew/spew                                                                                                                                                                  |          8 |      1,059 |        857 |        209 |      2,125 |
| vendor/github.com/emicklei                                                                                                                                                                              |         41 |      2,961 |        933 |        700 |      4,594 |
| vendor/github.com/emicklei/go-restful                                                                                                                                                                   |         41 |      2,961 |        933 |        700 |      4,594 |
| vendor/github.com/emicklei/go-restful/v3                                                                                                                                                                |         41 |      2,961 |        933 |        700 |      4,594 |
| vendor/github.com/emicklei/go-restful/v3 (Files)                                                                                                                                                        |         40 |      2,939 |        928 |        692 |      4,559 |
| vendor/github.com/emicklei/go-restful/v3/log                                                                                                                                                            |          1 |         22 |          5 |          8 |         35 |
| vendor/github.com/evanphx                                                                                                                                                                               |          4 |      1,189 |         70 |        340 |      1,599 |
| vendor/github.com/evanphx/json-patch                                                                                                                                                                    |          4 |      1,189 |         70 |        340 |      1,599 |
| vendor/github.com/felixge                                                                                                                                                                               |          7 |        704 |        135 |         89 |        928 |
| vendor/github.com/felixge/httpsnoop                                                                                                                                                                     |          7 |        704 |        135 |         89 |        928 |
| vendor/github.com/fsnotify                                                                                                                                                                              |         12 |      1,900 |        769 |        446 |      3,115 |
| vendor/github.com/fsnotify/fsnotify                                                                                                                                                                     |         12 |      1,900 |        769 |        446 |      3,115 |
| vendor/github.com/go-logr                                                                                                                                                                               |         11 |      1,253 |        711 |        294 |      2,258 |
| vendor/github.com/go-logr/logr                                                                                                                                                                          |          7 |        947 |        539 |        206 |      1,692 |
| vendor/github.com/go-logr/logr (Files)                                                                                                                                                                  |          6 |        394 |        374 |        136 |        904 |
| vendor/github.com/go-logr/logr/funcr                                                                                                                                                                    |          1 |        553 |        165 |         70 |        788 |
| vendor/github.com/go-logr/stdr                                                                                                                                                                          |          2 |         92 |         54 |         32 |        178 |
| vendor/github.com/go-logr/zapr                                                                                                                                                                          |          2 |        214 |        118 |         56 |        388 |
| vendor/github.com/go-openapi                                                                                                                                                                            |         27 |      2,736 |        597 |        586 |      3,919 |
| vendor/github.com/go-openapi/jsonpointer                                                                                                                                                                |          3 |        334 |         46 |        102 |        482 |
| vendor/github.com/go-openapi/jsonreference                                                                                                                                                              |          5 |        253 |         48 |         65 |        366 |
| vendor/github.com/go-openapi/jsonreference (Files)                                                                                                                                                      |          4 |        209 |         36 |         56 |        301 |
| vendor/github.com/go-openapi/jsonreference/internal                                                                                                                                                     |          1 |         44 |         12 |          9 |         65 |
| vendor/github.com/go-openapi/swag                                                                                                                                                                       |         19 |      2,149 |        503 |        419 |      3,071 |
| vendor/github.com/gogo                                                                                                                                                                                  |         46 |     17,419 |      3,364 |      1,649 |     22,432 |
| vendor/github.com/gogo/protobuf                                                                                                                                                                         |         46 |     17,419 |      3,364 |      1,649 |     22,432 |
| vendor/github.com/gogo/protobuf/gogoproto                                                                                                                                                               |          5 |      1,230 |        229 |        185 |      1,644 |
| vendor/github.com/gogo/protobuf/proto                                                                                                                                                                   |         35 |     12,845 |      2,580 |      1,095 |     16,520 |
| vendor/github.com/gogo/protobuf/protoc-gen-gogo                                                                                                                                                         |          5 |      3,292 |        528 |        346 |      4,166 |
| vendor/github.com/gogo/protobuf/protoc-gen-gogo/descriptor                                                                                                                                              |          5 |      3,292 |        528 |        346 |      4,166 |
| vendor/github.com/gogo/protobuf/sortkeys                                                                                                                                                                |          1 |         52 |         27 |         23 |        102 |
| vendor/github.com/golang                                                                                                                                                                                |         23 |      3,777 |        758 |        522 |      5,057 |
| vendor/github.com/golang/groupcache                                                                                                                                                                     |          1 |         87 |         31 |         16 |        134 |
| vendor/github.com/golang/groupcache/lru                                                                                                                                                                 |          1 |         87 |         31 |         16 |        134 |
| vendor/github.com/golang/protobuf                                                                                                                                                                       |         22 |      3,690 |        727 |        506 |      4,923 |
| vendor/github.com/golang/protobuf/jsonpb                                                                                                                                                                |          3 |        949 |        102 |        110 |      1,161 |
| vendor/github.com/golang/protobuf/proto                                                                                                                                                                 |         12 |      2,350 |        508 |        331 |      3,189 |
| vendor/github.com/golang/protobuf/ptypes                                                                                                                                                                |          7 |        391 |        117 |         65 |        573 |
| vendor/github.com/golang/protobuf/ptypes (Files)                                                                                                                                                        |          4 |        235 |        108 |         38 |        381 |
| vendor/github.com/golang/protobuf/ptypes/any                                                                                                                                                            |          1 |         51 |          3 |          9 |         63 |
| vendor/github.com/golang/protobuf/ptypes/duration                                                                                                                                                       |          1 |         52 |          3 |          9 |         64 |
| vendor/github.com/golang/protobuf/ptypes/timestamp                                                                                                                                                      |          1 |         53 |          3 |          9 |         65 |
| vendor/github.com/google                                                                                                                                                                                |        183 |     62,640 |      9,168 |      7,176 |     78,984 |
| vendor/github.com/google/cel-go                                                                                                                                                                         |        108 |     21,113 |      5,368 |      3,783 |     30,264 |
| vendor/github.com/google/cel-go/cel                                                                                                                                                                     |          8 |      2,542 |        827 |        322 |      3,691 |
| vendor/github.com/google/cel-go/checker                                                                                                                                                                 |         11 |      2,458 |        509 |        354 |      3,321 |
| vendor/github.com/google/cel-go/checker (Files)                                                                                                                                                         |          9 |      2,216 |        414 |        313 |      2,943 |
| vendor/github.com/google/cel-go/checker/decls                                                                                                                                                           |          2 |        242 |         95 |         41 |        378 |
| vendor/github.com/google/cel-go/common                                                                                                                                                                  |         54 |      5,749 |      1,861 |        861 |      8,471 |
| vendor/github.com/google/cel-go/common (Files)                                                                                                                                                          |          6 |        256 |        149 |         65 |        470 |
| vendor/github.com/google/cel-go/common/containers                                                                                                                                                       |          1 |        185 |        112 |         20 |        317 |
| vendor/github.com/google/cel-go/common/debug                                                                                                                                                            |          1 |        251 |         24 |         31 |        306 |
| vendor/github.com/google/cel-go/common/operators                                                                                                                                                        |          1 |        106 |         36 |         12 |        154 |
| vendor/github.com/google/cel-go/common/overloads                                                                                                                                                        |          1 |        254 |         39 |         25 |        318 |
| vendor/github.com/google/cel-go/common/runes                                                                                                                                                            |          1 |        135 |         34 |         26 |        195 |
| vendor/github.com/google/cel-go/common/types                                                                                                                                                            |         43 |      4,562 |      1,467 |        682 |      6,711 |
| vendor/github.com/google/cel-go/common/types (Files)                                                                                                                                                    |         23 |      3,521 |        869 |        474 |      4,864 |
| vendor/github.com/google/cel-go/common/types/pb                                                                                                                                                         |          6 |        878 |        280 |        107 |      1,265 |
| vendor/github.com/google/cel-go/common/types/ref                                                                                                                                                        |          2 |         46 |         83 |         30 |        159 |
| vendor/github.com/google/cel-go/common/types/traits                                                                                                                                                     |         12 |        117 |        235 |         71 |        423 |
| vendor/github.com/google/cel-go/ext                                                                                                                                                                     |          4 |        470 |        236 |        113 |        819 |
| vendor/github.com/google/cel-go/interpreter                                                                                                                                                             |         15 |      3,737 |      1,133 |        537 |      5,407 |
| vendor/github.com/google/cel-go/interpreter (Files)                                                                                                                                                     |         13 |      3,532 |      1,051 |        490 |      5,073 |
| vendor/github.com/google/cel-go/interpreter/functions                                                                                                                                                   |          2 |        205 |         82 |         47 |        334 |
| vendor/github.com/google/cel-go/parser                                                                                                                                                                  |         16 |      6,157 |        802 |      1,596 |      8,555 |
| vendor/github.com/google/cel-go/parser (Files)                                                                                                                                                          |          8 |      2,089 |        490 |        324 |      2,903 |
| vendor/github.com/google/cel-go/parser/gen                                                                                                                                                              |          8 |      4,068 |        312 |      1,272 |      5,652 |
| vendor/github.com/google/gnostic                                                                                                                                                                        |         32 |     36,935 |      2,288 |      2,687 |     41,910 |
| vendor/github.com/google/gnostic/compiler                                                                                                                                                               |          7 |        696 |        148 |         92 |        936 |
| vendor/github.com/google/gnostic/extensions                                                                                                                                                             |          4 |        495 |         62 |         82 |        639 |
| vendor/github.com/google/gnostic/jsonschema                                                                                                                                                             |          8 |      1,587 |        178 |        142 |      1,907 |
| vendor/github.com/google/gnostic/openapiv2                                                                                                                                                              |          6 |     16,444 |        959 |      1,096 |     18,499 |
| vendor/github.com/google/gnostic/openapiv3                                                                                                                                                              |          7 |     17,713 |        941 |      1,275 |     19,929 |
| vendor/github.com/google/go-cmp                                                                                                                                                                         |         21 |      3,412 |      1,128 |        460 |      5,000 |
| vendor/github.com/google/go-cmp/cmp                                                                                                                                                                     |         21 |      3,412 |      1,128 |        460 |      5,000 |
